,curve_date,curve_num,curve_name,dH,dH_std,Tm,Tm_std,fmax,fmax_std,fmin,fmin_std,s1,s1_std,s2,s2_std,rmse,celsius_min,celsius_max,data_file,blank,pass_qc,SEQID,conc_uM,Na_mM,Cuvette,dG_37,dS
22111521_2_SecondaryMeltingCurve,22111521,2,SecondaryMeltingCurve,-40.993461998684154,0.5000722452714991,51.74020527177885,0.1441028247591293,0.05511051504026838,0.005289650745499685,0.008652000138598681,0.00021068288546097398,0.00031323888968759483,1.0711333147836894e-05,0.0016421640676904659,7.135220569080123e-05,0.00046319409720393094,4.0,75.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22111521_Mismatch7_hairpin_25mM-Na/2_SecondaryMeltingCurve.csv,,True,MMCNN70,9.0,25.0,ECL micro cuvette,-1.8598653786930837,-0.12617635537640198
22111521_4_MeltingCurve,22111521,4,MeltingCurve,-39.19690450121712,1.1383902816462717,54.18004872677367,0.5009152461870637,0.012796385096985587,0.020839056416522284,0.011497559193693649,0.0005330862386527663,0.00038018481373702784,2.6371888417544896e-05,0.0027512077087603615,0.00027449239687084184,0.0012005094340589776,4.0,75.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22111521_Mismatch7_hairpin_25mM-Na/4_MeltingCurve.csv,,True,MMCNN112,9.0,25.0,ECL micro cuvette,-2.057265233940391,-0.11974734569491127
22111521_2_SecondaryCoolingCurve,22111521,2,SecondaryCoolingCurve,-39.433541202869115,0.21388156942016712,50.18327080658321,0.05251727813464877,0.1662964130257673,0.002005970275065686,0.008453464627515311,0.00011102153920812908,0.0003366914554887579,6.216080031359121e-06,-0.0002579030370470914,2.748445228879646e-05,0.00022812661901575106,4.0,75.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22111521_Mismatch7_hairpin_25mM-Na/2_SecondaryCoolingCurve.csv,,True,MMCNN70,9.0,25.0,ECL micro cuvette,-1.6078241847587667,-0.1219594293667914
22111521_4_CoolingCurve,22111521,4,CoolingCurve,-40.69862433139695,0.6521370123592433,52.48138247016059,0.18225599785321583,0.14247119373134035,0.00814617251313072,0.009976985335999805,0.00032470669187190587,0.0003452349190562476,1.6739237527390663e-05,0.00044136993430088367,0.00010999513841947646,0.0007069952964447346,4.0,75.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22111521_Mismatch7_hairpin_25mM-Na/4_CoolingCurve.csv,,True,MMCNN112,9.0,25.0,ECL micro cuvette,-1.9349209050558187,-0.1249837286033891
22111521_7_SecondaryMeltingCurve,22111521,7,SecondaryMeltingCurve,-39.287125942525435,1.1827683077314943,53.26825313390816,0.4770756104749919,0.010000000043143449,0.00706655789991395,0.007837496782677172,0.0004506901769043952,0.0006105946511665294,2.2476355421816618e-05,0.0025038934170593663,0.0002043648840238762,0.0010052274281909606,4.0,75.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22111521_Mismatch7_hairpin_25mM-Na/7_SecondaryMeltingCurve.csv,,True,MMCNN164,9.0,25.0,ECL micro cuvette,-1.9580182897263987,-0.12035823844204106
22111521_4_TertiaryMeltingCurve,22111521,4,TertiaryMeltingCurve,-35.0936292687176,0.4371051442574848,53.64937046575352,0.2646680688096646,0.010000000021720227,0.003581189357797224,0.008633024159342487,0.00024431738588373585,0.0005153320695217012,1.3088930013688848e-05,0.003027642336218328,0.00013016057538107827,0.0005204057639010775,4.0,75.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22111521_Mismatch7_hairpin_25mM-Na/4_TertiaryMeltingCurve.csv,,True,MMCNN112,9.0,25.0,ECL micro cuvette,-1.7879068550528918,-0.10738585334085027
22111521_1_TertiaryCoolingCurve,22111521,1,TertiaryCoolingCurve,-40.86556871973204,1.085078994759965,46.55958858314483,0.20158206364761666,0.1066446718582638,0.005222443740157905,0.007539335567853633,0.00045413231066416827,0.0007100352243596397,2.678769557164203e-05,0.0006064384320798588,7.345102780794796e-05,0.0008938593652017082,4.0,75.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/22111521_Mismatch7_hairpin_25mM-Na/1_TertiaryCoolingCurve.csv,,True,MMCNN20,9.0,25.0,ECL micro cuvette,-1.2219152572437626,-0.12782090428014922
23012205_6_TertiaryCoolingCurve,23012205,6,TertiaryCoolingCurve,-29.97430608976695,25.090686494493486,5.343069077236155,46.974436605184366,0.15507310482255113,0.012194849569154368,-0.09999999978711209,0.16668485101367816,-0.006973748860034323,0.224741272785972,0.002195704797880893,0.00018756382261300912,0.015458460791149358,5.0,85.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/23012205_WC_MM_remeasure_01/6_TertiaryCoolingCurve.csv,,False,MMCNN112,6.0,25.0,eCuvette,3.4072465088112094,-0.10763034853644418
23012205_4_SecondaryMeltingCurve,23012205,4,SecondaryMeltingCurve,-20.848631842781025,0.7036353860244211,42.446105368440655,0.4146993982945428,0.20655877380865106,0.023486312777231063,0.05918388307702166,0.001970148337403898,-0.0032474239229175472,0.00023202150446908975,0.0021463883096206615,0.0002633441943924544,0.002518815071258606,5.0,85.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/23012205_WC_MM_remeasure_01/4_SecondaryMeltingCurve.csv,,True,MMCNN70,6.0,25.0,eCuvette,-0.35977581431512595,-0.06606111890525843
23012205_2_SecondaryMeltingCurve,23012205,2,SecondaryMeltingCurve,-0.054148711844570256,887.8574410402775,79.74807644483016,791164.9819039898,0.010012892169969964,193668.018180427,0.04724039211389769,176570.8657646263,-0.38605517268636724,6136.081955305755,0.3912822518349528,6212.5592086003135,0.015324496908237043,5.0,85.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/23012205_WC_MM_remeasure_01/2_SecondaryMeltingCurve.csv,,False,WC2215,6.0,25.0,eCuvette,-0.0065592686042386114,-0.00015344008782953943
23020411_4_SecondaryCoolingCurve,23020411,4,SecondaryCoolingCurve,-38.20914898405866,1.0907984644066553,55.98675872306761,0.27728695562028033,0.28867878517681855,0.01731770788065149,0.010768448814921963,0.0011351833782747606,0.001169764623236702,5.4228930154091326e-05,0.0003548364357537359,0.00021175908418072796,0.0024461355858604204,5.0,85.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/23020411_test_hairpin_03/4_SecondaryCoolingCurve.csv,,True,HP016,6.0,25.0,eCuvette,-2.2041533604104897,-0.11608897508833844
23020411_6_SecondaryMeltingCurve,23020411,6,SecondaryMeltingCurve,-10.163826078663684,1.3199850100200146,52.329510730805225,3.4996218779966672,0.7616986557333407,0.2738576816934992,0.0008350944126623155,0.01860102962429053,-0.005390955545806375,0.001628773441619944,-0.004375634838749365,0.002174511623505915,0.002024436939385582,5.0,85.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/23020411_test_hairpin_03/6_SecondaryMeltingCurve.csv,,True,HP018,6.0,25.0,eCuvette,-0.4786982768564375,-0.031227237793994025
23020411_3_SecondaryCoolingCurve,23020411,3,SecondaryCoolingCurve,-29.43113920186355,0.994531844822148,52.66467339405662,0.45591366144317813,0.2808401351584389,0.021688732269479597,0.004624726181766903,0.001093646111355727,0.0019272074005636242,7.215721780472531e-05,0.0007084173626248358,0.000269510483221717,0.001886588728369204,5.0,80.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/23020411_test_hairpin_03/3_SecondaryCoolingCurve.csv,,True,HP015,6.0,25.0,eCuvette,-1.4150043594096124,-0.0903309200143606
23020411_6_SecondaryCoolingCurve,23020411,6,SecondaryCoolingCurve,-38.331193412831816,1.0426248177655213,62.14597918466652,0.36869485324393253,0.2581827749436396,0.018874909495680367,0.004739381628953487,0.0006245137038179724,0.0019789855732208483,2.7008848799220278e-05,0.00048381465898561515,0.00022414826694526488,0.0014557030487522187,5.0,85.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/23020411_test_hairpin_03/6_SecondaryCoolingCurve.csv,,True,HP018,6.0,25.0,eCuvette,-2.8747001202529656,-0.1143204684590645
23020411_3_SecondaryMeltingCurve,23020411,3,SecondaryMeltingCurve,-29.992174437954116,0.5090926858261072,43.89785923227766,0.14047677686513918,0.25004342281653913,0.0069728574027813515,0.01528992023218026,0.0010202996122581148,-0.00025121353471724284,7.509585229027102e-05,0.0002825673890960445,9.03588598161274e-05,0.0012343958430628495,5.0,80.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/23020411_test_hairpin_03/3_SecondaryMeltingCurve.csv,,True,HP015,6.0,25.0,eCuvette,-0.6525254510277465,-0.09459825564058157
23020411_4_SecondaryMeltingCurve,23020411,4,SecondaryMeltingCurve,-23.41053661772953,0.5660957677329996,48.59022587601764,0.2826592129796577,0.28498594544581674,0.014968068157268451,0.0245185030356357,0.001391961137266345,-0.0010957979881462965,0.00011426136013708577,-0.00024011363232201433,0.00017125311875773957,0.0014953433491485073,5.0,85.0,/Users/yuxi/workspace/nnn_analysis/data/uv_melt/ECLExportAuto/23020411_test_hairpin_03/4_SecondaryMeltingCurve.csv,,True,HP016,6.0,25.0,eCuvette,-0.843330691832191,-0.0727622309395368
