,SEQID,curve_date,curve_num,dH_uv,dH_uv_std,n_curve,Tm_uv,Tm_uv_std,dG_37_uv,dG_37_uv_std,dS_uv,dS_uv_std,is_hairpin,Na_mM,conc_uM,Purification
10,HP010,23022109,2,-32.81336499660849,2.711407734387868,2,43.46642822048951,3.6591616378386904,-0.6701650657101292,3.813690094356096,-0.10363759448943531,0.008647053715780452,True,25.0,6.0,standard desalting
11,HP014,23020411,2,-29.188951137384457,0.0,1,39.23076057189103,0.0,-0.20844293103366834,0.0,-0.09344029729598836,0.0,True,25.0,6.0,standard desalting
12,HP015,23020411,3,-29.711656819908836,0.3967118199242362,2,48.28126631316714,6.199073743196158,-1.042789387091711,0.7807748493624399,-0.09243549067488999,0.002168240566944234,True,25.0,6.0,standard desalting
13,HP016,23020411,4,-23.41053661772953,0.0,1,48.59022587601764,0.0,-0.843330691832191,0.0,-0.0727622309395368,0.0,True,25.0,6.0,standard desalting
14,HP018,23020411,6,-38.331193412831816,0.0,1,62.14597918466652,0.0,-2.8747001202529656,0.0,-0.1143204684590645,0.0,True,25.0,6.0,standard desalting
15,HP019,23020517,1,-44.25499393807966,0.0,1,28.323514251703312,0.0,1.2736701767907788,0.0,-0.14679562829234383,0.0,True,25.0,6.0,standard desalting
16,HP021,23020517,3,-27.30706482841243,1.508615530263797,2,35.96561371026769,5.617608498597476,0.09137698718064784,2.194315277667185,-0.08833932553794319,0.005137691320876381,True,25.0,6.0,standard desalting
18,HP023,23020517,5,-33.696133196968184,0.0,1,28.400351681551104,0.0,0.9609502810049776,0.0,-0.11174297429622172,0.0,True,25.0,6.0,standard desalting
19,HP029,23020120,5,-38.86136193514357,0.0,1,71.0105241938826,0.0,-3.840345412647769,0.0,-0.1129163840802702,0.0,True,25.0,6.0,standard desalting
20,HP038,23022109,5,-36.49797562137377,0.0,1,45.79479325993843,0.0,-1.0064191571067547,0.0,-0.11443352076178306,0.0,True,25.0,6.0,standard desalting
21,HP039,23022109,6,-23.04809725871276,12.644595407417256,2,53.4214540149147,3.528508361269604,-1.1589600518113505,17.43996184376323,-0.0705759703591856,0.038726738799529446,True,25.0,6.0,standard desalting
