"Name","Tm_mae","dH_mae","train_rmse","test_rmse","n_parameters","Runtime","State","batch_size","graphconv_dropout","hidden_channels","learning_rate","linear_dropout","linear_hidden_channels","n_epoch","n_graphconv_layer","n_linear_layer","processing_steps","concat","dataset","params","norm_method","epochs","architecture","n_processing","pooling","mode","Tm_rmse","dH_rmse"
"misunderstood-sweep-6","2.1664195618472712","3.5154758786850877","0.2815442262833203","0.6285688795103043","118616","497","finished","512","0.019367321772114497","81","0.01123688975716528","0.2992544731989802","[64]","400","2","1","6","","NNN_v0","[""dH"",""Tm""]","","","GraphTransformer","","Set2Set","val","3.0676287642272704","4.651975612170728"
"treasured-sweep-5","","","0.7569923554895955","0.777602704238116","","90","failed","3151","0.010171400992186564","90","0.010846371810805184","0.22491284903583","[64]","400","6","1","7","","NNN_v0","[""dH"",""Tm""]","","","GraphTransformer","","Set2Set","val","",""
"upbeat-sweep-4","1.8487181822640917","3.110387687236579","0.29754028392328996","0.5415137888103407","215028","501","finished","3151","0.017508200777741116","107","0.00930925951641905","0.41696620356602665","[128]","400","6","1","5","","NNN_v0","[""dH"",""Tm""]","","","GraphTransformer","","Set2Set","val","2.59825063649304","4.147760759813178"
"iconic-sweep-3","","","0.8841132159959467","0.8925327174690054","","60","failed","2048","0.008399070705780352","34","0.007204435618882585","0.2954404527322963","[32]","400","2","1","7","","NNN_v0","[""dH"",""Tm""]","","","GraphTransformer","","Set2Set","val","",""
"splendid-sweep-2","","","0.7654720163412029","0.7820715565832836","","86","failed","3151","0.017826731212374148","87","0.005371999762189688","0.1649754251211641","[128]","400","2","1","9","","NNN_v0","[""dH"",""Tm""]","","","GraphTransformer","","Set2Set","val","",""
"woven-sweep-1","2.19629764039874","3.4621940643284623","0.33931999281789305","0.6305758528625133","102816","455","finished","1024","0.014903657278149691","77","0.009572734016826304","0.3675332239299259","[32]","400","2","1","10","","NNN_v0","[""dH"",""Tm""]","","","GraphTransformer","","Set2Set","val","3.0877501663745046","4.58989984461418"
"rose-sweep-5","","","0.7584843483282778","0.7723917564986815","","120","failed","5519","0.011814056788442289","69","0.011247576561865124","0.07464944930346774","[64]","300","8","1","6","","NNN_v0","[""dH"",""Tm""]","","250","GraphTransformer","","Set2Set","val","",""
"dry-sweep-4","","","0.6570175180881677","0.6867135006808661","","94","failed","2196","0.011956630321440814","93","0.009418971065961715","0.0861638774023157","[64]","300","8","1","8","","NNN_v0","[""dH"",""Tm""]","","250","GraphTransformer","","Set2Set","val","",""
"wandering-sweep-3","2.036553075580589","2.9726743106662323","0.34264215532611103","0.5540784985111256","197566","436","finished","2480","0.012329105221737977","106","0.008117823644187668","0.06744661592503429","[64]","300","7","1","7","","NNN_v0","[""dH"",""Tm""]","","250","GraphTransformer","","Set2Set","val","2.8571709187365957","4.021648170242691"
"desert-sweep-2","","","1.21640704628091","1.2286965838439956","","141","failed","5084","0.017393229096877842","88","0.0192301650704755","0.03578734068855364","[64]","300","8","1","4","","NNN_v0","[""dH"",""Tm""]","","250","GraphTransformer","","Set2Set","val","",""
"dry-sweep-1","2.3777003047711895","3.1515995272967685","0.44782166686803687","0.5835373456950192","50276","342","finished","1875","0.01664412482910864","51","0.011578544988470135","0.07929697365050059","[64]","300","8","1","5","","NNN_v0","[""dH"",""Tm""]","","250","GraphTransformer","","Set2Set","val","3.2745479458708417","4.205477115790209"
"chocolate-sweep-3","","","","","","5","failed","5862","0.009857902224539616","109","0.01306155903559512","0.032624246487204384","[64]","300","7","1","","","NNN_v0","[""dH"",""Tm""]","","250","GraphTransformer","","Set2Set","val","",""
"balmy-sweep-2","","","","","","4","failed","1602","0.009416607154508271","99","0.008106551521371639","0.0571888843574735","[64]","300","4","1","","","NNN_v0","[""dH"",""Tm""]","","250","GraphTransformer","","Set2Set","val","",""
"solar-sweep-1","","","","","","7","failed","3334","0.0073185964686729695","42","0.006955608224802651","0.039592999739534264","[64]","300","8","1","","","NNN_v0","[""dH"",""Tm""]","","250","GraphTransformer","","Set2Set","val","",""
"revived-snowflake-3","2.013839763515368","3.222482641099605","0.4229737959628585","0.579829171668546","76354","274","finished","3151","0.01","64","0.01","0.05","[64]","250","4","1","10","","NNN_v0","[""dH"",""Tm""]","","","GraphTransformer","","Set2Set","val","2.893592302766292","4.255447240977482"
"rural-flower-2","","","0.4119118665779438","0.5887139544606969","","6048","crashed","3151","0.01","64","0.01","0.05","[128,64]","250","4","2","10","","NNN_v0","[""dH"",""Tm""]","","","GraphTransformer","","Set2Set","val","",""
"wild-planet-21","2.133710349016168","3.19932776373221","0.43064818558485257","0.573096127631627","92866","294","finished","3151","0.01","64","0.01","0.05","[128,64]","250","4","2","10","","NNN_v0","[""dH"",""Tm""]","","","GraphTransformer","","Set2Set","val","3.045054085970478","4.235197791578003"
"ancient-cloud-20","2.2875689509454173","3.271501618851866","0.42303788695343286","0.6142008866967575","76354","302","finished","3151","0.01","64","0.01","0.05","[64]","250","4","2","10","","NNN_v0","[""dH"",""Tm""]","","","GraphTransformer","","Set2Set","val","3.289518781958971","4.369726737910481"
"fresh-jazz-19","1.99212837609628","3.1328298052347994","0.3707380441551892","0.5712528449450299","","306","failed","3151","0.01","64","0.01","0.05","[128]","250","3","2","10","","NNN_v0","[""dH"",""Tm""]","","","GAT","","Set2Set","val","2.8301112621390274","4.218047428162459"
"leafy-dust-7","","","0.38704858177590745","0.5884030242970656","","301","failed","3151","0.01","64","0.01","0.05","[128,64]","250","4","2","","","NNN_v0","[""dH"",""Tm""]","","","GraphTransformer","10","Set2Set","val","",""
