,SEQID,curve_date,curve_num,dH_uv,dH_uv_std,n_curve,Tm_uv,Tm_uv_std,dG_37_uv,dG_37_uv_std,dS_uv,dS_uv_std,is_hairpin,Na_mM,conc_uM,Purification
11,HP018,23020411,6,-38.331193412831816,0.0,1,62.14597918466652,0.0,-2.8747001202529656,0.0,-0.1143204684590645,0.0,True,25.0,6.0,standard desalting
12,HP022,23022109,4,-37.78910822261229,0.0,1,51.06295138125689,0.0,-1.6391275839277712,0.0,-0.11655644249132524,0.0,True,25.0,6.0,standard desalting
13,HP029,23020120,5,-38.86136193514357,0.0,1,71.0105241938826,0.0,-3.840345412647769,0.0,-0.1129163840802702,0.0,True,25.0,6.0,standard desalting
14,HP038,23022109,5,-36.49797562137377,0.0,1,45.79479325993843,0.0,-1.0064191571067547,0.0,-0.11443352076178306,0.0,True,25.0,6.0,standard desalting
15,HP039,23022109,6,-31.989176416657777,0.0,1,50.92642182518753,0.0,-1.3746596006883354,0.0,-0.09870874356269368,0.0,True,25.0,6.0,standard desalting
16,MMCNN112,22111521,4,-38.87587907843698,2.269537011082071,3,52.48138247016059,0.8904184671555747,-1.8482627451675324,3.1358770781427845,-0.11938615616079139,0.006977292011899414,True,25.0,9.0,standard desalting
17,MMCNN112,22111703,4,-47.022541517159134,0.6049534129311365,3,63.994245329806255,0.43595629571068434,-3.76497015544039,0.8238980151234475,-0.1394730658124093,0.001803386741577556,True,1000.0,10.0,standard desalting
18,MMCNN124,22111703,5,-70.53408285498163,0.0,1,70.39443822348025,0.0,-6.856306813554862,0.0,-0.2053128358582195,0.0,True,1000.0,10.0,standard desalting
19,MMCNN151,22111521,6,-38.72227862569847,1.5528035572980836,3,52.43526108176366,0.8810956967202059,-1.8357356788283974,2.146895988973025,-0.11893130081209118,0.004780116183893211,True,25.0,9.0,standard desalting
20,MMCNN20,22111521,1,-40.86556871973204,2.093232536731792,3,47.474740197609904,0.8031475303901509,-1.3350691999093525,2.9140064321125787,-0.12745606809551085,0.006536407827181572,True,25.0,9.0,standard desalting
21,MMCNN20,22111703,1,-45.90203243134822,0.0,1,61.7775652951655,0.0,-3.3957808302407675,0.0,-0.13705062582978383,0.0,True,1000.0,10.0,standard desalting
22,MMCNN70,22111521,2,-39.43354120286912,1.8543853905338912,3,50.28683522689446,0.4692774745304091,-1.6199359729942995,2.569781160013831,-0.12192037797799396,0.005736105524484082,True,25.0,9.0,standard desalting
23,MMCNN70,22111703,2,-52.104935644537065,0.0,1,62.23521477765097,0.0,-3.920504494622091,0.0,-0.1553584754148476,0.0,True,1000.0,10.0,standard desalting
24,MMCNN88,22111521,3,-36.395053338501896,0.9124197359615502,3,55.4672863522963,1.3145499642875726,-2.0452906761839156,1.262125393881942,-0.11075209628346923,0.002811666177074177,True,25.0,9.0,standard desalting
25,MMCNN88,22111703,3,-18.346115472574677,0.14059351275463663,2,60.978827207231504,0.9560735534458604,-1.3166129259716373,0.1979196826891958,-0.05490731112881844,0.00044915111183051746,True,1000.0,10.0,standard desalting
26,MMCNNN2336,23020906,2,-51.03930392752075,0.0,1,60.13187715906693,0.0,-3.5424515692229037,0.0,-0.15314155201772642,0.0,True,25.0,6.0,standard desalting
